#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-1.598	-4.308	-5.832	-2.504	68.822	117.775	216.289	96.577
-2.341	-2.506	-3.294	-3.146	36.264	46.820	128.601	135.843
-4.623	-3.109	-4.331	-6.159	66.293	17.442	170.321	246.260
-1.591	-3.653	-5.020	-2.099	97.380	125.433	68.257	48.855
-1.925	-1.398	-2.689	-3.015	172.532	107.454	38.509	56.001
-8.229	-5.362	-7.283	-9.515	204.016	65.955	46.738	61.679
-2.326	-2.674	-4.129	-3.192	95.271	61.006	69.752	67.496
-1.421	-4.448	-5.668	-2.259	57.683	96.371	32.244	43.923
-3.403	-4.192	-6.124	-5.009	71.828	52.601	103.530	74.703
-2.004	-4.719	-6.422	-3.539	69.574	107.052	178.390	107.507
-5.983	-5.665	-6.379	-5.889	197.593	95.081	49.069	44.909
-2.526	-2.238	-4.222	-3.957	100.431	63.200	242.527	269.193
-5.030	-1.835	-4.251	-5.547	204.834	61.534	67.121	98.084
-1.089	-1.558	-2.638	-2.201	136.324	88.180	104.925	94.057
-6.188	-5.282	-6.821	-7.884	59.434	36.864	111.908	183.462
-2.940	-1.792	-3.294	-4.628	87.784	87.183	74.644	95.395
-1.230	-81.860	-2.856	-2.958	131.163	86.781	104.876	112.365
-4.045	-1.650	-3.168	-5.068	265.200	85.733	218.332	313.517
-1.734	-4.044	-5.675	-2.870	50.886	14.227	323.960	197.165
-1.401	-1.958	-3.552	-3.113	77.354	63.810	222.515	201.174
-2.226	-1.587	-2.652	-3.720	198.006	90.257	229.588	294.920
-3.888	-2.918	-3.622	-5.429	83.723	54.075	144.944	253.723
-4.170	-1.765	-3.335	-5.688	152.390	63.919	134.916	218.040
-7.928	-5.783	-8.397	-9.046	84.016	32.143	65.754	75.986
-3.752	-4.743	-1.898	-2.469	276.966	298.314	61.352	75.925
-2.394	-2.209	-3.331	-4.161	113.177	54.355	235.133	285.131
-17.703	-16.474	-19.888	-19.312	18.164	35.298	34.139	47.461
-2.387	-1.656	-2.243	-3.779	130.549	89.215	128.818	163.865
-5.800	-7.508	-8.777	-7.852	43.433	42.863	71.222	62.694
-3.457	-5.474	-6.575	-5.688	42.952	30.025	88.994	75.502
-1.690	-2.829	-3.567	-3.380	58.371	43.495	85.285	81.250
-4.156	-3.736	-5.974	-4.893	113.224	63.815	182.892	196.624
-3.043	-1.594	-2.794	-4.527	202.435	92.863	125.948	187.022
-1.335	-2.811	-4.512	-3.070	98.049	129.141	154.585	156.529
-1.549	-2.548	-3.456	-2.703	88.111	86.757	159.699	102.439
-3.867	-1.941	-4.111	-3.982	63.892	67.912	100.634	115.614
-2.877	-1.469	-2.371	-4.376	213.873	67.379	138.796	270.886
-1.573	-1.339	-2.319	-3.476	162.859	57.983	205.128	201.441
-2.013	-3.575	-4.811	-3.004	89.241	129.749	95.302	96.984
-5.213	-4.514	-5.622	-5.895	102.349	59.586	92.532	135.186
-1.737	-1.348	-2.644	-2.913	134.769	90.182	169.527	132.935
-1.150	-1.521	-3.418	-2.781	111.969	78.496	89.048	101.015
-1.382	-3.199	-4.511	-3.471	81.600	80.303	130.693	108.499
-3.019	-1.841	-3.386	-4.270	176.012	59.325	95.378	122.055
-1.772	-1.528	-3.732	-3.374	105.192	80.838	191.700	177.967
-1.572	-3.411	-5.076	-3.360	69.177	74.656	128.542	130.974
-1.942	-1.794	-3.043	-2.774	111.047	52.283	79.669	86.049
-5.073	-4.220	-5.750	-7.340	99.678	42.030	40.231	47.244
-3.745	-3.663	-3.765	-5.591	72.880	63.711	71.448	54.240
-1.506	-2.971	-4.305	-3.071	71.213	48.005	95.430	97.433
-1.249	-3.608	-4.584	-2.990	121.318	134.651	245.728	176.363
-1.575	-2.240	-3.953	-2.692	79.362	99.968	125.524	109.675
-1.225	-1.765	-107.310	-106.913	101.223	102.586	-1078.916	-1226.341
-1.168	-1.876	-3.430	-2.759	114.580	107.355	270.102	180.348
-0.758	-3.105	-4.316	-2.076	248.485	340.922	55.896	52.575
-2.870	-1.533	-5.311	-3.777	192.154	71.044	171.075	156.714
-8.922	-11.635	-13.240	-10.744	60.825	50.681	91.052	59.797
-2.449	-1.582	-2.081	-3.815	137.254	73.767	67.603	102.701
-1.825	-2.014	-3.505	-3.652	189.092	90.747	183.447	247.464
-1.284	-2.973	-3.060	-3.235	104.812	128.835	197.917	226.856
-4.403	-7.383	-8.287	-5.985	22.916	77.776	119.988	109.011
-5.943	-2.529	-5.241	-7.575	149.482	35.999	200.880	269.160
-1.046	-4.062	-5.806	-2.207	-13.537	125.809	228.329	121.170
-4.201	-5.185	-6.621	-5.761	38.274	45.630	199.673	213.128
-3.925	-5.003	-6.842	-5.377	114.300	136.305	42.963	39.981
-2.469	-3.604	-5.097	-3.203	49.246	79.336	187.126	181.381
-2.601	-4.663	-5.470	-3.196	85.063	89.660	49.008	31.214
-3.936	-3.234	-5.326	-4.656	17.822	62.591	36.715	44.383
-1.523	-4.360	-5.726	-3.519	71.225	82.780	177.855	147.245
-1.737	-1.423	-2.304	-2.970	184.483	50.409	97.543	77.189
-1.191	-1.888	-3.786	-2.528	143.667	114.307	133.136	145.485
-1.282	-1.716	-3.193	-2.633	118.511	115.704	197.054	166.361
-6.079	-3.962	-5.376	-7.738	118.827	36.844	142.968	320.152
-3.954	-1.757	-3.016	-5.652	282.800	87.789	139.928	238.968
-9.496	-9.486	-13.786	-11.295	20.560	37.191	722.554	592.084
-1.990	-1.785	-2.878	-3.019	81.042	32.690	218.462	221.358
-2.588	-2.970	-7.747	-6.458	110.648	51.371	394.338	300.910
-6.005	-4.150	-5.507	-7.372	43.106	47.456	61.976	94.936
-3.755	-1.925	-3.486	-5.618	148.050	101.386	29.530	55.875
-8.128	-5.173	-6.973	-10.376	70.199	29.798	113.498	208.721
-1.207	-3.384	-6.510	-4.826	103.909	166.537	246.728	186.469
